UID;CARRERA;HORA_ENTRADA;HORA_SALIDA;SEXO;FUMADOR;NIVEL_ELOCUENCIA;IMPORTANCIA_FUMADOR;IMPORTANCIA_ELOCUENCIA;IMPORTANCIA_MUSICA;IMPORTANCIA_SEXO;MODO_TRANSPORTE;GUSTO_MUSICAL;CARPOOLING_AUTO;CARPOOLING_BUS
333;Ingeniería Industrial;2:30:00 p. m.;7:00:00 p. m.;Hombre;No;Extrovertido/a - Abierto - Hago amigos fácilmente;7;9;2;2;Manejo en auto;Reggaeton;Si;
334;Ingeniería Ambiental;6:00:00 p. m.;10:00:00 p. m.;Hombre;Si;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;5;7;5;5;Manejo en auto;Reggaeton;Si;
335;Diseño Industrial;8:00:00 a. m.;11:00:00 a. m.;Hombre;Si;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;1;1;1;1;Autobús;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;;Si
336;Medicina;7:30:00 a. m.;3:00:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;8;1;7;1;Autobús;Pop, Rock, Rap/Hip-Hop, Reggae;;Si
337;Ingeniería Civil;1:15:00 p. m.;6:30:00 p. m.;Hombre;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;10;10;10;10;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
338;Ingeniería Civil;7:30:00 a. m.;6:30:00 p. m.;Hombre;Si;Extrovertido/a - Abierto - Hago amigos fácilmente;5;1;1;1;Manejo en auto;Rock;Si;
339;Psicología;7:20:00 a. m.;1:00:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;1;1;5;5;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
340;Ciencias Contables;7:00:00 p. m.;10:00:00 p. m.;Hombre;Si;Extrovertido/a - Abierto - Hago amigos fácilmente;5;5;5;1;Autobús;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;;Si
341;Economía;6:30:00 p. m.;10:15:00 p. m.;Hombre;No;Extrovertido/a - Abierto - Hago amigos fácilmente;4;7;8;7;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio, Reggaeton;Si;
342;Economía;6:30:00 p. m.;10:00:00 p. m.;Hombre;No;Extrovertido/a - Abierto - Hago amigos fácilmente;1;1;1;1;Me traen en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
343;Economía;9:00:00 a. m.;4:00:00 p. m.;Hombre;No;Extrovertido/a - Abierto - Hago amigos fácilmente;7;9;1;1;Autobús;Reggaeton;;Si
344;Economía;6:30:00 p. m.;10:00:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;1;1;1;1;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
345;Ingeniería Civil;7:00:00 a. m.;5:00:00 a. m.;Mujer;No;Extrovertido/a - Abierto - Hago amigos fácilmente;10;5;1;8;Autobús;Electrónica;;Si
346;Administración de Empresas;6:30:00 p. m.;9:30:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;5;6;6;8;Me traen en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
347;Medicina;12:00:00 p. m.;4:00:00 a. m.;Hombre;Si;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;4;5;1;1;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
348;Ingeniería Ambiental;8:30:00 a. m.;7:15:00 p. m.;Hombre;No;Introvertido/a - Tímido/a - Retraído;1;5;1;1;Autobús;Pop, Electrónica, Rap/Hip-Hop;;Si
349;Economía;6:30:00 p. m.;9:30:00 p. m.;Mujer;Si;Extrovertido/a - Abierto - Hago amigos fácilmente;1;6;1;1;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
350;Ciencias Contables;7:00:00 p. m.;10:15:00 p. m.;Hombre;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;1;3;3;1;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
351;Medicina;7:30:00 a. m.;12:00:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;1;1;1;1;Autobús;Pop;;Si
351;Ciencias Contables;7:00:00 p. m.;10:00:00 p. m.;Hombre;No;Extrovertido/a - Abierto - Hago amigos fácilmente;8;10;1;1;Bicicleta;Electrónica;;Si
352;Economía;6:30:00 p. m.;10:00:00 p. m.;Mujer;No;Extrovertido/a - Abierto - Hago amigos fácilmente;1;1;1;1;Autobús;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;;Si
353;Medicina;7:30:00 a. m.;5:30:00 a. m.;Mujer;No;Extrovertido/a - Abierto - Hago amigos fácilmente;3;1;1;1;Me traen en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
354;Ingeniería Civil;10:00:00 a. m.;5:00:00 p. m.;Hombre;No;Extrovertido/a - Abierto - Hago amigos fácilmente;1;1;1;1;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
355;Medicina;7:30:00 a. m.;6:30:00 a. m.;Hombre;No;Extrovertido/a - Abierto - Hago amigos fácilmente;10;1;1;5;Me traen en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
356;Marketing;5:00:00 p. m.;10:00:00 p. m.;Mujer;No;Extrovertido/a - Abierto - Hago amigos fácilmente;10;10;10;1;Manejo en auto;Pop;No;
357;Administración de Empresas;6:30:00 p. m.;10:00:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;3;7;3;3;Autobús;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;;Si
358;Ingeniería Civil;9:00:00 a. m.;5:00:00 p. m.;Mujer;No;Extrovertido/a - Abierto - Hago amigos fácilmente;3;5;1;2;Manejo en auto;Reggaeton;Si;
359;Administración de Empresas;6:30:00 p. m.;10:00:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;10;5;5;8;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;No;
360;Administración de Empresas;7:30:00 a. m.;12:00:00 p. m.;Hombre;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;10;5;10;1;Autobús;Cumbia, Reggaeton, Trap, Prefiero ir en silencio;;Si
361;Administración de Empresas;7:00:00 p. m.;9:55:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;1;1;1;1;Me traen en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
362;Comercio Internacional;6:30:00 p. m.;10:05:00 p. m.;Mujer;No;Extrovertido/a - Abierto - Hago amigos fácilmente;1;3;1;4;Me traen en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
363;Marketing;6:00:00 p. m.;10:15:00 p. m.;Hombre;Si;Extrovertido/a - Abierto - Hago amigos fácilmente;8;3;8;1;Manejo en auto;Rock, Cumbia, Reggaeton, Trap;Si;
364;Ingeniería Industrial;2:30:00 p. m.;6:00:00 p. m.;Hombre;No;Extrovertido/a - Abierto - Hago amigos fácilmente;1;1;1;1;Manejo en auto;Pop, Techno, Electrónica, Rock, Reggaeton;Si;
365;Ingeniería Informática;2:30:00 p. m.;5:00:00 p. m.;Mujer;No;Extrovertido/a - Abierto - Hago amigos fácilmente;10;5;10;1;Manejo en auto;Rock, Metal, Prefiero ir en silencio;Si;
366;Administración de Empresas;6:50:00 p. m.;10:00:00 p. m.;Mujer;No;Introvertido/a - Tímido/a - Retraído;5;4;1;10;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
367;Análisis de Sistemas Informáticos;7:00:00 p. m.;9:00:00 p. m.;Hombre;Si;Extrovertido/a - Abierto - Hago amigos fácilmente;1;1;1;1;Autobús;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;;Si
368;Economía;6:00:00 p. m.;10:00:00 p. m.;Hombre;Si;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;3;4;7;1;Manejo en auto;Techno, Rap/Hip-Hop, Reggaeton, Trap;Si;
369;Fonoaudiología;7:30:00 a. m.;6:00:00 a. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;6;10;7;1;Manejo en auto;Pop, Electrónica, Reggaeton, Trap, Funk brasileño;Si;
370;Ciencias Contables;7:00:00 p. m.;10:00:00 p. m.;Hombre;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;9;3;3;3;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
371;Ciencias Contables;7:00:00 p. m.;10:15:00 a. m.;Mujer;No;Extrovertido/a - Abierto - Hago amigos fácilmente;5;1;1;1;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio, Pop, Reggaeton;Si;
371;Ingeniería Informática;1:00:00 p. m.;6:00:00 p. m.;Hombre;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;3;3;8;1;Autobús;Pop, Rock, Prefiero ir en silencio;;Si
372;Ingeniería Informática;2:00:00 p. m.;7:00:00 p. m.;Hombre;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;10;3;10;9;Autobús;Rock, Metal;;Si
373;Diseño Industrial;6:00:00 p. m.;5:47:00 p. m.;Hombre;Si;Extrovertido/a - Abierto - Hago amigos fácilmente;1;3;1;1;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
374;Economía;6:30:00 p. m.;10:10:00 p. m.;Hombre;No;Extrovertido/a - Abierto - Hago amigos fácilmente;4;1;1;1;Autobús;Prefiero ir en silencio;;Si
375;Marketing;6:30:00 p. m.;10:00:00 p. m.;Hombre;No;Extrovertido/a - Abierto - Hago amigos fácilmente;1;8;1;1;Manejo en auto;Reggaeton;Si;
376;Administración de Empresas;7:00:00 p. m.;9:50:00 p. m.;Mujer;No;Extrovertido/a - Abierto - Hago amigos fácilmente;1;10;7;10;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio, Pop, Reggae;Si;
377;Ciencias Contables;6:30:00 p. m.;10:20:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;6;4;3;2;Me traen en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
378;Marketing;6:50:00 p. m.;9:00:00 p. m.;Mujer;No;Extrovertido/a - Abierto - Hago amigos fácilmente;7;3;3;4;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
379;Administración de Empresas;6:30:00 p. m.;10:00:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;1;5;1;1;Manejo en auto;Pop, Electrónica, Rap/Hip-Hop, Cumbia, Reggaeton, Trap, Funk brasileño, Prefiero ir en silencio;No;
380;Marketing;7:00:00 p. m.;10:00:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;4;9;8;1;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio, Pop, Rock, Rap/Hip-Hop, Reggaeton;Si;
381;Ciencias Contables;7:00:00 p. m.;10:15:00 p. m.;Mujer;No;Extrovertido/a - Abierto - Hago amigos fácilmente;9;10;6;2;Manejo en auto;Pop, Reggaeton, Funk brasileño;Si;
382;Administración de Empresas;6:30:00 p. m.;10:00:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;1;1;10;1;Manejo en auto;Reggaeton, Trap;No;
383;Comercio Internacional;6:30:00 p. m.;10:00:00 p. m.;Mujer;No;Extrovertido/a - Abierto - Hago amigos fácilmente;1;5;1;1;Me traen en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
384;Comercio Internacional;6:30:00 p. m.;10:00:00 p. m.;Mujer;No;Extrovertido/a - Abierto - Hago amigos fácilmente;7;6;1;1;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
385;Fonoaudiología;7:30:00 a. m.;11:00:00 a. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;4;1;1;1;Me traen en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
386;Marketing;7:00:00 p. m.;10:00:00 a. m.;Hombre;Si;Extrovertido/a - Abierto - Hago amigos fácilmente;3;3;6;1;Autobús;Techno, Rap/Hip-Hop, Reggae, Trap;;Si
387;Medicina;7:30:00 a. m.;4:30:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;9;6;3;5;Me traen en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio, Rock;Si;
388;Medicina;7:30:00 a. m.;3:00:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;5;1;1;1;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
389;Medicina;7:30:00 a. m.;1:30:00 p. m.;Mujer;No;Extrovertido/a - Abierto - Hago amigos fácilmente;10;5;1;1;Autobús;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;;Si
390;Medicina;7:15:00 a. m.;4:15:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;1;3;1;5;Me traen en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
391;Economía;6:30:00 p. m.;10:00:00 p. m.;Hombre;No;Extrovertido/a - Abierto - Hago amigos fácilmente;7;7;1;1;Me traen en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
392;Ciencias Contables;7:00:00 a. m.;10:00:00 a. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;5;1;4;1;Me traen en auto;Rock;Si;
392;Medicina;7:00:00 a. m.;1:00:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;10;5;5;1;Manejo en auto;Pop;Si;
393;Ciencias Contables;6:30:00 a. m.;10:00:00 a. m.;Hombre;Si;Extrovertido/a - Abierto - Hago amigos fácilmente;2;8;6;1;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
394;Comercio Internacional;6:35:00 p. m.;10:15:00 p. m.;Mujer;No;Extrovertido/a - Abierto - Hago amigos fácilmente;6;3;1;1;Autobús;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;;Si
395;Medicina;7:30:00 a. m.;1:00:00 p. m.;Mujer;No;Introvertido/a - Tímido/a - Retraído;7;1;1;6;Autobús;Prefiero ir en silencio;;Si
396;Medicina;10:00:00 p. m.;10:30:00 p. m.;Hombre;Si;Introvertido/a - Tímido/a - Retraído;10;10;10;8;Manejo en auto;Trap;No;
397;Medicina;7:30:00 a. m.;1:00:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;3;1;1;1;Manejo en auto;Pop, Rock, Metal, Rap/Hip-Hop;Si;
398;Administración de Empresas;7:00:00 a. m.;10:00:00 a. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;1;6;1;2;Manejo en auto;Reggaeton;Si;
399;Ingeniería Industrial;9:00:00 a. m.;6:00:00 p. m.;Hombre;No;Extrovertido/a - Abierto - Hago amigos fácilmente;7;1;1;1;Bicicleta;No tengo preferencia/ me da igual/ escucho lo que hay en la radio, Prefiero ir en silencio;;Si
400;Medicina;7:30:00 a. m.;12:30:00 p. m.;Mujer;Si;Extrovertido/a - Abierto - Hago amigos fácilmente;1;1;1;7;Autobús;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;;Si
401;Ingeniería Industrial;7:30:00 a. m.;5:00:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;4;4;5;1;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
402;Medicina;7:30:00 a. m.;12:30:00 p. m.;Hombre;Si;Extrovertido/a - Abierto - Hago amigos fácilmente;1;1;1;1;Manejo una moto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
403;Comercio Internacional;6:30:00 p. m.;10:00:00 a. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;5;1;1;1;Me traen en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
404;Ciencias Contables;7:00:00 p. m.;10:00:00 p. m.;Hombre;No;Extrovertido/a - Abierto - Hago amigos fácilmente;1;1;4;2;Manejo en auto;Techno, Electrónica, Reggaeton, Trap;Si;
405;Ciencias Contables;6:00:00 p. m.;9:00:00 p. m.;Mujer;No;Introvertido/a - Tímido/a - Retraído;1;2;2;1;Manejo en auto;Cumbia, Reggaeton;Si;
406;Ingeniería Electrónica;7:30:00 a. m.;12:00:00 p. m.;Hombre;Si;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;1;1;1;1;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
407;Marketing;7:00:00 p. m.;10:00:00 p. m.;Hombre;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;1;4;3;1;Autobús;Pop, Electrónica, Rock;;Si
408;Comercio Internacional;7:00:00 p. m.;10:00:00 p. m.;Hombre;Si;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;1;7;5;1;Manejo en auto;Pop, Rock, Metal, Rap/Hip-Hop, Reggae, Trap;Si;
409;Economía;8:00:00 a. m.;12:00:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;6;1;1;1;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
410;Economía;6:40:00 p. m.;10:00:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;1;3;1;1;Autobús;Pop, Techno, Electrónica, Rock, Reggae, Cumbia, Reggaeton;;Si
411;Comercio Internacional;7:30:00 p. m.;11:00:00 p. m.;Mujer;No;Extrovertido/a - Abierto - Hago amigos fácilmente;2;10;2;1;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
412;Administración de Empresas;6:30:00 a. m.;10:30:00 p. m.;Hombre;Si;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;1;5;1;1;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
412;Economía;6:30:00 p. m.;9:30:00 p. m.;Mujer;Si;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;1;5;1;1;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
413;Ciencias Contables;6:00:00 p. m.;10:30:00 p. m.;Hombre;No;Extrovertido/a - Abierto - Hago amigos fácilmente;1;1;1;1;Autobús;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;;Si
414;Economía;6:30:00 p. m.;10:00:00 p. m.;Hombre;No;Extrovertido/a - Abierto - Hago amigos fácilmente;1;8;1;1;Manejo en auto;Pop, Techno, Electrónica, Rock, Rap/Hip-Hop, Reggaeton, Trap;No;
415;Economía;7:00:00 p. m.;10:00:00 p. m.;Hombre;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;3;3;1;1;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio, Pop, Techno, Electrónica, Rock, Metal, Rap/Hip-Hop, Reggae;Si;
416;Medicina;7:30:00 a. m.;1:00:00 p. m.;Hombre;No;Extrovertido/a - Abierto - Hago amigos fácilmente;10;1;1;1;Manejo en auto;Rock, Metal;Si;
417;Medicina;7:00:00 a. m.;2:00:00 p. m.;Hombre;No;Extrovertido/a - Abierto - Hago amigos fácilmente;1;4;4;1;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
418;Comercio Internacional;7:00:00 p. m.;10:00:00 a. m.;Mujer;No;Extrovertido/a - Abierto - Hago amigos fácilmente;1;1;5;1;Me traen en auto;Rap/Hip-Hop, Reggaeton, Trap, Funk brasileño;Si;
419;Economía;6:30:00 p. m.;10:00:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;10;1;1;1;Manejo en auto;Pop;Si;
420;Marketing;6:30:00 p. m.;10:00:00 p. m.;Hombre;Si;Extrovertido/a - Abierto - Hago amigos fácilmente;1;1;1;1;Autobús;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;;Si
421;Diseño Industrial;6:15:00 p. m.;10:15:00 a. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;1;2;1;1;Me traen en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio, Reggaeton;Si;
422;Economía;6:20:00 p. m.;10:00:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;3;3;3;1;Me traen en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
423;Ingeniería Civil;7:30:00 a. m.;6:00:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;5;5;5;1;Autobús;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;;Si
424;Medicina;7:00:00 a. m.;4:00:00 p. m.;Hombre;No;Extrovertido/a - Abierto - Hago amigos fácilmente;10;7;10;10;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
425;Ingeniería Electrónica;9:00:00 a. m.;5:00:00 p. m.;Hombre;No;Extrovertido/a - Abierto - Hago amigos fácilmente;7;3;2;1;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
426;Ciencias Contables;7:00:00 p. m.;10:00:00 p. m.;Hombre;No;Extrovertido/a - Abierto - Hago amigos fácilmente;10;3;1;1;Manejo en auto;Rock;Si;
427;Economía;6:30:00 p. m.;10:00:00 p. m.;Hombre;No;Extrovertido/a - Abierto - Hago amigos fácilmente;1;1;1;1;Manejo en auto;Pop, Rock, Reggaeton;Si;
428;Marketing;6:50:00 p. m.;10:00:00 p. m.;Mujer;No;Extrovertido/a - Abierto - Hago amigos fácilmente;1;1;1;1;Autobús;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;;Si
429;Economía;6:15:00 p. m.;10:00:00 p. m.;Mujer;No;Extrovertido/a - Abierto - Hago amigos fácilmente;7;1;1;1;Manejo en auto;Pop, Electrónica, Reggaeton, Funk brasileño;Si;
430;Comercio Internacional;6:30:00 p. m.;10:00:00 p. m.;Hombre;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;4;1;1;1;Autobús;Techno, Electrónica, Rock;;Si
431;Marketing;7:00:00 p. m.;10:00:00 a. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;8;2;2;5;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;No;
432;Administración de Empresas;7:00:00 a. m.;10:00:00 a. m.;Hombre;No;Extrovertido/a - Abierto - Hago amigos fácilmente;10;4;4;1;Manejo una moto;Pop, Techno, Electrónica, Reggaeton;Si;
433;Administración de Empresas;6:40:00 p. m.;10:00:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;5;10;2;1;Autobús;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;;Si
433;Comercio Internacional;6:30:00 p. m.;9:30:00 p. m.;Hombre;Si;Extrovertido/a - Abierto - Hago amigos fácilmente;1;4;1;1;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
434;Economía;6:30:00 p. m.;10:00:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;5;1;1;1;Me traen en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio, Pop, Rock;Si;
435;Marketing;6:45:00 p. m.;10:30:00 p. m.;Mujer;No;Extrovertido/a - Abierto - Hago amigos fácilmente;10;10;1;1;Manejo en auto;Pop, Reggaeton, Trap;Si;
436;Comercio Internacional;6:30:00 p. m.;9:45:00 p. m.;Mujer;Si;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;1;4;6;1;Manejo en auto;Pop, Rap/Hip-Hop, Reggaeton;Si;
437;Marketing;7:00:00 p. m.;10:00:00 p. m.;Mujer;No;Extrovertido/a - Abierto - Hago amigos fácilmente;3;1;1;1;Me traen en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;No;
438;Economía;6:30:00 p. m.;10:00:00 p. m.;Hombre;No;Extrovertido/a - Abierto - Hago amigos fácilmente;1;8;1;1;Manejo en auto;Pop;Si;
439;Economía;6:15:00 p. m.;10:00:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;7;5;1;1;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;No;
440;Ingeniería Industrial;2:30:00 p. m.;8:00:00 p. m.;Mujer;No;Extrovertido/a - Abierto - Hago amigos fácilmente;3;3;4;3;Manejo en auto;Reggaeton;Si;
441;Economía;6:30:00 p. m.;10:00:00 a. m.;Hombre;No;Extrovertido/a - Abierto - Hago amigos fácilmente;1;1;1;1;Manejo en auto;Pop, Rock, Reggae, Reggaeton;Si;
442;No está en la lista;2:00:00 p. m.;7:00:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;8;1;1;1;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
443;Comercio Internacional;7:00:00 p. m.;10:00:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;5;5;6;3;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
444;Ciencias Contables;7:00:00 p. m.;9:30:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;10;1;1;1;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;No;
445;Medicina;8:00:00 a. m.;5:00:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;9;6;2;2;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
446;Ciencias Contables;7:00:00 p. m.;10:00:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;1;1;1;1;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
